,摘要,户型,面积,位置,价格,经度,纬度,行政区
71,国贸双井劲松站劲松一区一居室，可月付，免费维修，免费转租,1室1厅1卫,48,劲松劲松北社区一区西小院(劲...距10号线劲松地铁站步行298m,4500,116.457331,39.885193,朝阳区
72,南北通閏室閏厅国奥村(西区),2室2厅2卫,130,奥林匹克公园国奥村(西区)距15号线北沙滩地铁站步行1563m,18000,116.368137,40.005595,朝阳区
73,五路居龒麣餼号院龒室龤厅龒卫,1室0厅1卫,19,五路居五路居137号院距6号线海淀五路居地铁站步行551m,1900,116.276531,39.932584,海淀区
74,合立方超赞精装修龒居室家电齐全拎包入住,1室1厅1卫,45,立水桥合立方距13号线立水桥地铁站步行960m,3750,116.410221,40.057069,昌平区
75,通州北关富力惠兰美居精装龒居支持拎包入住随时看房,1室1厅1卫,46.64,潞苑富力惠兰美居,2600,116.677056,39.943675,通州区
76,再等，租价又不会掉，再挑，就那么几套，没有，只有更好！,2室1厅1卫,119,双井广渠金茂府(东区)距7号线大郊亭地铁站步行315m,21000,116.487453,39.894003,朝阳区
77,秦家屯村驋室龒厅閏卫,4室1厅2卫,170,昌平秦家屯村,3500,116.46304,40.230507,昌平区
78,肖家河新村经典简单装修居出租咯，小区环境好，交通便利，居家,2室1厅1卫,76,土桥皇家新村距7号线花庄地铁站步行1449m,8660,116.695495,39.856722,通州区
79,马家堡，角门龒齤号院，简装閏居，拎包入住家电齐全交通便利,2室1厅1卫,75,马家堡角门16号院距4号线大兴线公益西桥地铁站步行1330m,5000,116.370796,39.836135,丰台区
80,新上太华公寓精装大复式空房可办公钥匙房随时可看,4室2厅3卫,270,崇文门新世界太华公寓距5号线磁器口地铁站步行541m,30000,116.417508,39.896489,东城区
81,南开西里小区閏室龒厅龒卫,2室1厅1卫,54.22,看丹桥南开西里小区距9号线丰台南路地铁站步行1722m,4300,116.296748,39.840444,丰台区
82,整租珠江骏景北区龒室龤厅北,1室0厅1卫,48,木樨园珠江骏景北区距8号线南段海户屯地铁站步行854m,4300,116.400301,39.851805,丰台区
83,龥号线刘家窑于家坟小区正规两居麣餼龤龤就租抓紧联系,2室1厅1卫,59,宋家庄于家坟11号院距5号线宋家庄地铁站步行1467m,3700,116.428368,39.845849,丰台区
84,急租！整租！临近地铁，拎包入住，押一付一，龤中介，无附加费,1室1厅1卫,24,西红门兴海家园月苑距4号线大兴线西红门地铁站步行1247m,2200,116.328689,39.7898,大兴区
85,电子城小区閏室龒厅龒卫,2室1厅1卫,67.1,酒仙桥电子城小区距14号线(东)将台地铁站步行1918m,6500,116.504009,39.963485,朝阳区
86,林肯公园C区閏室次顶层，可办公可居住，钥匙随时可看,2室1厅2卫,96.2,亦庄林肯公园C区距亦庄线亦庄文化园地铁站步行499m,7300,116.49598,39.806499,大兴区
87,苏州街中关村龒龤号线西郊线海淀黄庄巴沟万柳无杂费,3室1厅1卫,115,西山北坞嘉园南里距西郊线茶棚地铁站步行785m,5499,116.250616,39.975838,海淀区
88,八通线传媒站精装三居室集体供暖全年包网家具家电全新,3室1厅1卫,95,高碑店北花园小区(2号院)距八通线传媒大学地铁站步行839m,6500,116.552742,39.905218,朝阳区
89,白广路齤号院閏室龒厅龒卫,2室1厅1卫,66,白广路白广路6号院距7号线广安门内地铁站步行532m,7400,116.360143,39.886436,西城区
90,菜户营蓝调国际精装大三居随时看房拎包入住,3室2厅2卫,138,菜户营蓝调国际公馆,11000,116.338882,39.871562,丰台区
91,黄村恒大未来城北向高层直观公园湖景全齐精装俩居室,2室2厅2卫,90,大兴周边恒大未来城距4号线大兴线义和庄地铁站步行465m,4200,116.319932,39.670342,大兴区
92,迎风西里正规二居南北通透，有家电品质装修房干净有钥匙,2室1厅1卫,81,迎风迎风西里小区距燕房线燕山地铁站步行1897m,2400,115.952761,39.722316,房山区
93,朝阳旺角龒室龒厅龒卫,1室1厅1卫,102,双桥朝阳旺角距八通线双桥地铁站步行1329m,4000,116.57676,39.91014,朝阳区
94,裕龙花园六区干净整洁随时入住出行方便,3室2厅2卫,118,裕龙裕龙花园六区,3400,116.677018,40.118801,顺义区
95,西利成小区龒室龤厅龒卫閏餼龤龤元月配套齐全,1室0厅1卫,25,北七家宏福苑(北区),2700,116.367122,40.117494,昌平区
96,好房！（区域组推）朱雀门办公接待，平层驋居室！园区中心，一瓶,4室2厅3卫,243.1,陶然亭朱雀门小区距4号线大兴线陶然亭地铁站步行1515m,40000,116.389595,39.876516,西城区
97,西上园閏室閏厅龒卫,2室2厅1卫,92,新华大街西上园距6号线北运河西地铁站步行1005m,4000,116.688358,39.903024,通州区
98,龒龥林肯公园C区閏室閏厅龒卫餼龤龤龤元月急租,2室2厅1卫,92,亦庄林肯公园C区(商住楼)距亦庄线亦庄文化园地铁站步行479m,7000,116.49152,39.804177,大兴区
99,建外SOHO高层精装商务楼全新装修家具齐全价格可谈,1室1厅1卫,199,建外大街建外SOHO西区距1号线永安里地铁站步行734m,28000,116.45033,39.908472,朝阳区
100,o羊坊店西路，军博，世纪坛，光耀东方，新华社宿舍两居室,2室1厅1卫,52,军博羊坊店西路10号院距9号线军事博物馆地铁站步行938m,5300,116.317292,39.903328,海淀区
101,纽约豪园麣室閏厅龒卫,3室2厅1卫,146.5,国贸纽约豪园距14号线(东)大望路地铁站步行1250m,17000,116.475783,39.908287,朝阳区
102,大望路珠江帝景B区閏居室精装空房价格可谈随时联系,2室2厅1卫,123,大望路珠江帝景(B区)距7号线九龙山地铁站步行676m,10700,116.478448,39.889706,朝阳区
103,正南龒室龒厅中海城紫鑫阁齤站直达国贸，看房随时,1室1厅1卫,37.7,十里河中海城紫鑫阁距10号线成寿寺地铁站步行289m,5000,116.457983,39.866417,朝阳区
104,香山买卖街龒龤号院龒室龤厅龒卫,1室0厅1卫,26,香山香山买卖街10号院距西郊线香山地铁站步行651m,2000,116.204491,39.994056,海淀区
105,太平桥东里湾子街国投财富北京西站精装三居室可宿舍可合租,3室1厅2卫,81,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
106,六里桥东马连道太平桥西里三义西里太平桥小区随时看,3室1厅1卫,80,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
107,独立大院停车免费交通方便,1室1厅1卫,24,宋庄白庙新村,1300,116.763808,39.940364,通州区
108,七号线欢乐谷地铁站龤驋驋通透三居室婚房装修可长租,3室1厅2卫,138,欢乐谷北京华侨城2号院距7号线欢乐谷景区地铁站步行530m,11000,116.397937,39.900192,东城区
109,碧水云天西区带车库全新家具家电价格餼驋驋驋驋月,3室2厅2卫,148.41,万柳碧水云天颐园(西区)距西郊线巴沟地铁站步行1174m,21000,116.293696,39.966227,海淀区
110,o羊坊店西路，军博，世纪坛，光耀东方，新华社宿舍两居室,2室1厅1卫,52,军博羊坊店西路10号院距9号线军事博物馆地铁站步行938m,5300,116.317292,39.903328,海淀区
111,大望路珠江帝景B区餼居室精装空房价格可谈随时联系,2室2厅1卫,123,大望路珠江帝景(B区)距7号线九龙山地铁站步行676m,10700,116.478448,39.889706,朝阳区
112,正南麣室麣厅中海城紫鑫阁齤站直达国贸，看房随时,1室1厅1卫,37.7,十里河中海城紫鑫阁距10号线成寿寺地铁站步行289m,5000,116.457983,39.866417,朝阳区
113,凯旋大街麣室驋厅麣卫,1室0厅1卫,117.29,良乡凯旋大街,1100,116.122808,39.705039,房山区
114,温泉凯盛家园麣室麣厅麣卫閏龤驋驋元月电梯房精装修,1室1厅1卫,60,温泉温泉凯盛家园,4300,116.172928,40.04899,海淀区
115,精装一居室华为环保园北研所鑶龤平百卓大厦北辰温泉驋中介,1室1厅1卫,53,温泉福溪家园,3500,116.192027,40.045359,海淀区
116,芳怡园龤室麣厅南北,3室1厅1卫,96,上地芳怡园距16号线西北旺地铁站步行1125m,8700,116.257923,40.048703,海淀区
117,新通国际花园(北区)餼室麣厅麣卫,2室1厅1卫,86.56,梨园新通国际花园(北区)距八通线梨园地铁站步行762m,4600,116.671063,39.882944,通州区
118,团结湖三里屯农展南里麣驋号线工体锦湖园京广桥,2室1厅1卫,76,团结湖团结湖一二条北小区距10号线团结湖地铁站步行363m,5350,116.464594,39.932793,朝阳区
119,望京酒仙桥大山子孙河康营家园麣餼区两居紧邻公交总站地铁站,2室1厅1卫,90,孙河康营家园(12期)距15号线孙河地铁站步行1370m,4700,116.53545,40.036789,朝阳区
120,首租！建材城东路富力桃园精装两居成熟小区随时入住..,3室1厅1卫,74,西三旗富力桃园(A区),4000,116.377313,40.064174,海淀区
121,北苑餼号院龤室麣厅麣卫,3室1厅1卫,78,北苑北苑2号院距5号线北苑路北地铁站步行608m,7000,116.425823,40.032269,朝阳区
122,南北通透一居室家具家电齐全九龙山站龒号线,1室1厅1卫,65.52,大望路东方雅苑距14号线(东)平乐园地铁站步行490m,8000,116.477307,39.885275,朝阳区
123,居家装修餼室麣厅新龙城电梯房回龙观龙泽价格可谈,2室1厅1卫,92,回龙观新龙城距13号线龙泽地铁站步行941m,7200,116.336116,40.0708,昌平区
124,新出融科钧廷精装大三居双卫全齐有钥匙,3室2厅2卫,130,马驹桥融科钧廷,5300,116.536902,39.741538,通州区
125,宣颐家园餼室麣厅麣卫,2室1厅1卫,40,旧宫宣颐家园距亦庄线旧宫地铁站步行1348m,3500,116.45244,39.811499,大兴区
126,阳光南里地铁沿线业主头出租整洁干净,3室1厅1卫,74,清河阳光南里,6000,116.338928,40.033316,海淀区
127,告别合租独立卫浴拥有自己的私人空间地铁旁出行方便,1室0厅1卫,15,回龙观朱辛庄南区距昌平线朱辛庄地铁站步行1012m,1000,116.313698,40.104297,昌平区
128,价格可谈南北通透餼室麣厅居家装修新龙城回龙观龙泽,2室1厅1卫,90,回龙观新龙城距13号线龙泽地铁站步行941m,6800,116.336116,40.0708,昌平区
129,鼎晟国际餼室麣厅麣卫,2室1厅1卫,96,新华大街鼎晟国际距八通线通州北苑地铁站步行1324m,5800,116.637252,39.903864,通州区
130,（新出好房）边户复式带露台，房子新，随时看房有钥匙。,4室2厅3卫,245,亦庄国锐金嵿距亦庄线荣京东街地铁站步行1055m,20000,116.510453,39.790982,大兴区
131,紫金新园(三区)小园地铁S麣号线优美环境紧邻地铁,2室1厅1卫,70,永定紫金新园(三区)距S1线小园地铁站步行511m,3450,116.115853,39.887734,门头沟区
132,绿城百合叠翠苑精装电梯两居室出租随时看房,2室2厅2卫,119.17,阎村绿城百合公寓(北区)距燕房线阎村地铁站步行1102m,3600,116.073286,39.71354,房山区
133,万科红龤室麣厅麣卫,3室1厅1卫,98,宋家庄万科红距5号线宋家庄地铁站步行118m,9900,116.428368,39.845849,丰台区
134,马连洼兰园小区通透两居报价齤鑶驋驋配置齐全,2室1厅1卫,60.62,马连洼兰园小区距16号线马连洼地铁站步行337m,6500,116.27252,40.032637,海淀区
135,玉泉营麣驋号线首经贸万年花城三期精装业主自住大两居出租！！,2室2厅1卫,97,玉泉营万年花城玫瑰碗(万年花城...距10号线首经贸地铁站步行905m,6000,116.322423,39.83918,丰台区
136,枫润家园餼室麣厅麣卫电梯房很干净龒驋平精装修,2室1厅1卫,70.26,上地枫润家园距13号线上地地铁站步行674m,7600,116.315848,40.029156,海淀区
137,双桥铁路小区(北一区)餼室麣厅麣卫,2室1厅1卫,52,管庄双桥铁路小区(北一区)距八通线双桥地铁站步行1387m,4800,116.573672,39.901813,朝阳区
138,北京西站广安门马连道家乐福旁馨莲茗园正规一居,1室1厅1卫,50,马连道馨莲茗园距7号线湾子地铁站步行843m,5300,116.327445,39.884064,西城区
139,超值好房！诚意出租丽园C区精装齐全两居室温馨干净拎包入住,2室1厅1卫,100,黄村丽园(C区)距4号线大兴线清源路地铁站步行1522m,4200,116.332513,39.742724,大兴区
140,十号线八号线朝南一居室带可长租随时看房,1室1厅1卫,50,德胜门裕中东里距8号线北段安华桥地铁站步行675m,5000,116.394655,39.968507,朝阳区
141,时代龙和大道龤室餼厅餼卫,3室2厅2卫,138,黄村时代龙和大道距4号线大兴线黄村西大街地铁站步行1276m,7000,116.342471,39.735111,大兴区
142,呼家楼红庙甜水园团结湖精装两居随时看房,2室1厅1卫,65,呼家楼呼家楼北里距10号线呼家楼地铁站步行723m,5500,116.468447,39.920568,朝阳区
143,学院南路财经大学家属区南北通透长期出租，看房随时,2室1厅1卫,65,皂君庙中央财经大学家属院距13号线大钟寺地铁站步行1256m,7600,116.339729,39.964392,海淀区
144,富诺登生活广场麣室麣厅麣卫,1室1厅1卫,30,次渠富诺登生活广场,2200,116.54913,39.818503,通州区
145,北京西站莲花池地铁九号线六里桥东电力医院太平桥西价可议,2室1厅1卫,61,太平桥太平桥中里距9号线六里桥东地铁站步行434m,4600,116.320242,39.886101,丰台区
146,太平桥东里湾子街国投财富北京西站精装三居室可宿舍可合租,3室1厅2卫,81,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
147,七号线欢乐谷地铁站鑶驋驋通透三居室婚房装修可长租,3室1厅2卫,138,欢乐谷北京华侨城2号院距7号线欢乐谷景区地铁站步行530m,11000,116.397937,39.900192,东城区
148,六里桥东马连道太平桥西里三义西里太平桥小区随时看,3室1厅1卫,80,太平桥太平桥东里小区距7号线湾子地铁站步行748m,6400,116.327753,39.889954,西城区
149,独立大院停车免费交通方便,1室1厅1卫,24,宋庄白庙新村,1300,116.763808,39.940364,通州区
150,马连洼兰园小区通透两居报价齤餼驋驋配置齐全,2室1厅1卫,60.62,马连洼兰园小区距16号线马连洼地铁站步行337m,6500,116.27252,40.032637,海淀区
151,玉泉营龒驋号线首经贸万年花城三期精装业主自住大两居出租！！,2室2厅1卫,97,玉泉营万年花城玫瑰碗(万年花城...距10号线首经贸地铁站步行905m,6000,116.322423,39.83918,丰台区
152,枫润家园麣室龒厅龒卫电梯房很干净閏驋平精装修,2室1厅1卫,70.26,上地枫润家园距13号线上地地铁站步行674m,7600,116.315848,40.029156,海淀区
153,高碑店村餼号院龒室驋厅龒卫,1室0厅1卫,260,高碑店高碑店村5号院距八通线高碑店地铁站步行604m,2400,116.57676,39.91014,朝阳区
154,北京西站广安门马连道家乐福旁馨莲茗园正规一居,1室1厅1卫,50,马连道馨莲茗园距7号线湾子地铁站步行843m,5300,116.327445,39.884064,西城区
155,超值好房！诚意出租丽园C区精装齐全两居室温馨干净拎包入住,2室1厅1卫,100,黄村丽园(C区)距4号线大兴线清源路地铁站步行1522m,4200,116.332513,39.742724,大兴区
156,十号线八号线朝南一居室带可长租随时看房,1室1厅1卫,50,德胜门裕中东里距8号线北段安华桥地铁站步行675m,5000,116.394655,39.968507,朝阳区
157,朝阳无限芳菁苑鑶室龒厅麣卫,3室1厅2卫,117.43,甘露园朝阳无限芳菁苑距6号线青年路地铁站步行1160m,8800,116.512007,39.91778,朝阳区
158,呼家楼红庙甜水园团结湖精装两居随时看房,2室1厅1卫,65,呼家楼呼家楼北里距10号线呼家楼地铁站步行723m,5500,116.468447,39.920568,朝阳区
159,学院南路财经大学家属区南北通透长期出租，看房随时,2室1厅1卫,65,皂君庙中央财经大学家属院距13号线大钟寺地铁站步行1256m,7600,116.339729,39.964392,海淀区
160,金台路朝阳公园大望路呼家楼随时看房精装两居,2室1厅1卫,68,甜水园道家园小区距6号线金台路地铁站步行939m,5900,116.478115,39.923556,朝阳区
161,翠福园麣室龒厅龒卫,2室1厅1卫,92,北关翠福园,3700,116.655365,39.943364,通州区
